state,city,code,name
AR,Fayetteville / Springdale,XNA,Northwest Arkansas Regional Airport
AR,Fort Smith,FSM,Fort Smith Airport
AR,Harrison,HRO,Boone County Airport
AR,Hot Springs,HOT,Memorial Field Airport
AR,Jonesboro,JBR,Jonesboro Municipal Airport
AR,Little Rock,LIT,Little Rock National Airport
AR,Mountain Home,BPK,Baxter County Regional Airport
AR,Texarkana,TXK,Texarkana Regional Airport
AS,Fitiuta,FAQ,Fitiuta Airport
AS,Ofu Village,Z08,Ofu Airport
AS,Pago Pago,PPG,Pago Pago International Airport
AZ,Bullhead City,IFP,Laughlin/Bullhead International Airport
AZ,Flagstaff,FLG,Flagstaff Pulliam Airport
AZ,Fort Huachuca / Sierra Vista,FHU,Sierra Vista Municipal Airport
AZ,Goodyear,GYR,Phoenix Goodyear Airport
AZ,Grand Canyon,GCN,Grand Canyon National Park Airport
AZ,Kingman,IGM,Kingman Airport
AZ,Lake Havasu City,HII,Lake Havasu City Airport
AZ,Marana,MZJ,Pinal Airpark
AZ,Mesa,IWA,Williams Gateway Airport
AZ,Page,PGA,Page Municipal Airport
AZ,Peach Springs,1G4,Grand Canyon West Airport
AZ,Phoenix,DVT,Deer Valley Municipal Airport
AZ,Phoenix,PHX,Phoenix Sky Harbor International Airport
AZ,Prescott,PRC,Ernest A. Love Field Airport
AZ,Show Low,SOW,Show Low Regional Airport
AZ,Tucson,TUS,Tucson International Airport
AZ,Yuma,YUM,Yuma International Airport
CA,Arcata/Eureka,ACV,Arcata Airport
CA,Bakersfield,BFL,Meadows Field Airport
CA,Burbank,BUR,Burbank Bob Hope Airport
CA,Carlsbad,CRQ,Mc Clellan-Palomar Airport
CA,Chico,CIC,Chico Municipal Airport
CA,Concord,CCR,Buchanan Field Airport
CA,Crescent City,CEC,Jack Mc Namara Field Airport
CA,Fresno,FAT,Fresno Air Terminal
CA,Imperial,IPL,Imperial County Airport
CA,Inyokern,IYK,Inyokern Airport
CA,Long Beach,LGB,Long Beach Airport
CA,Los Angeles,LAX,Los Angeles International Airport
CA,Mammoth Lakes,MMH,Mammoth Yosemite Airport
CA,Merced,MCE,Merced Municipal Airport
CA,Modesto,MOD,Modesto City-County Airport
CA,Monterey,MRY,Monterey Peninsula Airport
CA,Oakland,OAK,Oakland International Airport
CA,Ontario,ONT,Ontario International Airport
CA,Orange County,SNA,John Wayne Airport
CA,Oxnard,OXR,Oxnard Airport
CA,Palm Springs,PSP,Palm Springs International Airport
CA,Palmdale,PMD,Palmdale Regional Airport
CA,Paso Robles,PRB,Paso Robles Municipal Airport
CA,Redding,RDD,Redding Municipal Airport
CA,Sacramento,SMF,Sacramento International Airport
CA,Sacramento,MCC,Mc Clellan Airfield
CA,San Bernardino,SBD,San Bernardino International Airport
CA,San Diego,SAN,San Diego International Airport
CA,San Francisco,SFO,San Francisco International Airport
CA,San Jose,SJC,San Jose International Airport
CA,San Luis Obispo,SBP,San Luis County Regional Airport
CA,Santa Barbara,SBA,Santa Barbara Airport
CA,Santa Maria,SMX,Santa Maria Public Airport
CA,Santa Rosa,STS,Sonoma County Airport
CA,South Lake Tahoe,TVL,Lake Tahoe Airport
CA,Stockton,SCK,Stockton Metropolitan Airport
CA,Victorville,VCV,Southern California Logistics Airport
CA,Visalia,VIS,Visalia Municipal Airport
CO,Alamosa,ALS,San Luis Valley Regional Airport
CO,Aspen,ASE,Aspen-Pitkin County Airport
CO,Colorado Springs,COS,Colorado Springs Airport
CO,Cortez,CEZ,Cortez Municipal Airport
CO,Denver,DEN,Denver International Airport
CO,Durango,DRO,Durango-La Plata County Airport
CO,Eagle,EGE,Eagle County Regional Airport
CO,Fort Collins / Loveland,FNL,Fort Collins-Loveland Municipal Airport
CO,Grand Junction,GJT,Walker Field Airport
CO,Gunnison,GUC,Gunnison-Crested Butte Regional Airport
CO,Hayden,HDN,Yampa Valley Regional Airport
CO,Lamar,LAA,Lamar Municipal Airport
CO,Montrose,MTJ,Montrose Regional Airport
CO,Pueblo,PUB,Pueblo Memorial Airport
CO,Telluride,TEX,Telluride Regional Airport
CQ,Rota Island,GRO,Rota International Airport
CQ,Saipan Island,GSN,Saipan International Airport
CQ,Tinian Island,TNI,Tinian International Airport
CT,Bridgeport,BDR,Igor I Sikorsky Memorial Airport
CT,Danbury,DXR,Danbury Municipal Airport
CT,Groton (New London),GON,Groton-New London Airport
CT,Hartford,HFD,Hartford-Brainard Airport
CT,New Haven,HVN,Tweed New Haven Regional Airport
CT,Oxford,OXC,Waterbury-Oxford Airport
CT,Windsor Locks,BDL,Bradley International Airport
DC,Washington,IAD,Washington Dulles International Airport
DC,Washington,DCA,Ronald Reagan Washington National Airport
DE,Georgetown,GED,Sussex County Airport
DE,Wilmington,ILG,New Castle Airport
FL,Daytona Beach,DAB,Daytona Beach International Airport
FL,Fort Lauderdale,FLL,Fort Lauderdale Hollywood International Airport
FL,Fort Myers,RSW,Southwest Florida International Airport
FL,Gainesville,GNV,Gainesville Regional Airport
FL,Jacksonville,JAX,Jacksonville International Airport
FL,Jacksonville,VQQ,Cecil Field Airport
FL,Key West,EYW,Key West International Airport
FL,Lakeland,LAL,Lakeland Linder Regional Airport
FL,Marathon,MTH,Florida Keys Marathon Airport
FL,Melbourne,MLB,Melbourne International Airport
FL,Miami,MIA,Miami International Airport
FL,Miami,X44,Miami Airport
FL,Naples,APF,Naples Municipal Airport
FL,Ocala,OCF,Ocala International Airport
FL,Orlando,MCO,Orlando International Airport
FL,Panama City,PFN,Panama City-Bay County International Airport
FL,Pensacola,PNS,Pensacola Regional Airport
FL,Punta Gorda,PGD,Charlotte County Airport
FL,Saint Petersburg,PIE,St. Petersburg-Clearwater International Airport
FL,Sanford,SFB,Orlando Sanford International Airport
FL,Sarasota,SRQ,Sarasota-Bradenton International Airport
FL,St Augustine,SGJ,St Augustine Airport
FL,Tallahassee,TLH,Tallahassee Regional Airport
FL,Tampa,TPA,Tampa International Airport
FL,Titusville,TIX,Space Coast Regional Airport
FL,Valparaiso,VPS,Fort Walton Beach Airport
FL,Vero Beach,VRB,Vero Beach Municipal Airport
FL,West Palm Beach,PBI,Palm Beach International Airport
GA,Albany,ABY,Southwest Georgia Regional Airport
GA,Athens,AHN,Athens/Ben Epps Airport
GA,Atlanta,ATL,Atlanta International Airport
GA,Augusta,AGS,Augusta Regional Airport
GA,Brunswick,BQK,Brunswick Golden Isles Airport
GA,Columbus,CSG,Columbus Metropolitan Airport
GA,Macon,MCN,Middle Georgia Regional Airport
GA,Rome,RMG,Richard B Russell Airport
GA,Savannah,SAV,Savannah/Hilton Head International Airport
GA,Valdosta,VLD,Valdosta Regional Airport
GU,Agana,GUM,Guam International Airport
HI,Hana,HNM,Hana Airport
HI,Hilo,ITO,Hilo International Airport
HI,Honolulu,HNL,Honolulu International Airport
HI,Kahului,OGG,Kahului Airport
HI,Kamuela,MUE,Waimea - Kohala Airport
HI,Kaunakakai,MKK,Molokai Airport
HI,Keahole,KOA,Kona International Airport
HI,Lanai City,LNY,Lanai Airport
HI,Lihue,LIH,Lihue Airport
IA,Burlington,BRL,Southeast Iowa Regional Airport
IA,Cedar Rapids,CID,Cedar Rapids Eastern Iowa Airport
IA,Clinton,CWI,Clinton Municipal Airport
IA,Des Moines,DSM,Des Moines International Airport
IA,Dubuque,DBQ,Dubuque Regional Airport
IA,Fort Dodge,FOD,Fort Dodge Regional Airport
IA,Mason City,MCW,Mason City Municipal Airport
IA,Ottumwa,OTM,Ottumwa Industrial Airport
IA,Sioux City,SUX,Sioux Gateway Airport
IA,Waterloo,ALO,Waterloo Regional Airport
ID,Boise,BOI,Boise Airport
ID,Coeur D'alene,COE,Coeur D'alene Airport
ID,Hailey,SUN,Friedman Memorial Airport
ID,Idaho Falls,IDA,Idaho Falls Regional Airport
ID,Lewiston,LWS,Lewiston-Nez Perce County Airport
ID,Pocatello,PIH,Pocatello Regional Airport
ID,Twin Falls,TWF,Magic Valley Regional Airport
IL,Alton/St Louis,ALN,St Louis Regional Airport
IL,Belleville,BLV,Midamerica Airport
IL,Bloomington,BMI,Central Illinois Regional Airport
IL,Carbondale / Murphysboro,MDH,Southern Illinois Airport
IL,Champaign,CMI,Champaign Willard Airport
IL,Chicago,MDW,Chicago Midway Airport
IL,Chicago,ORD,Chicago O'hare International Airport
IL,Chicago,CGX,Merrill C Meigs Field
IL,Danville,DNV,Vermilion County Airport
IL,Decatur,DEC,Decatur Airport
IL,Marion,MWA,Williamson County Regional Airport
IL,Mattoon/Charleston,MTO,Coles County Memorial Airport
IL,Moline,MLI,Quad City International Airport
IL,Mount Vernon,MVN,Mount Vernon Airport
IL,Peoria,PIA,Peoria Regional Airport
IL,Quincy,UIN,Quincy Regional Airport - Baldwin Field
IL,Rockford,RFD,Greater Rockford Airport
IL,Springfield,SPI,Abraham Lincoln Capital Airport
IL,Sterling/Rockfalls,SQI,Whiteside County Airport
IN,Anderson,AID,Anderson Municipal Airport
IN,Bloomington,BMG,Monroe County Airport
IN,Columbus,BAK,Columbus Municipal Airport
IN,Elkhart,EKM,Elkhart Municipal Airport
IN,Evansville,EVV,Evansville Regional Airport
IN,Fort Wayne,FWA,Fort Wayne International Airport
IN,Gary,GYY,Gary Regional Airport
IN,Indianapolis,IND,Indianapolis International Airport
IN,Indianapolis,MQJ,Mount Comfort Airport
IN,Lafayette,LAF,Purdue University Airport
IN,Muncie,MIE,Delaware County Airport
IN,South Bend,SBN,South Bend Regional Airport
IN,Terre Haute,HUF,Terre Haute International Airport
IN,Valparaiso,VPZ,Porter County Municipal Airport
KS,Dodge City,DDC,Dodge City Regional Airport
KS,Garden City,GCK,Garden City Regional Airport
KS,Goodland,GLD,Goodland Municipal Airport
KS,Great Bend,GBD,Great Bend Municipal Airport
KS,Hays,HYS,Hays Regional Airport
KS,Hutchinson,HUT,Hutchinson Municipal Airport
KS,Liberal,LBL,Liberal Municipal Airport
KS,Manhattan,MHK,Manhattan Regional Airport
KS,Olathe,IXD,Olathe/New Century Aircenter Airport
KS,Salina,SLN,Salina Municipal Airport
KS,Topeka,FOE,Forbes Field Airport
KS,Wichita,ICT,Wichita Mid-Continent Airport
KY,Bowling Green,BWG,Bowling Green-Warren County Regional Airport
KY,Lexington,LEX,Blue Grass Airport
KY,Louisville,SDF,Louisville International Airport
KY,Owensboro,OWB,Owensboro-Daviess County Airport
KY,Paducah,PAH,Paducah Barkley Regional Airport
LA,Alexandria,AEX,Alexandria International Airport
LA,Alexandria,ESF,Esler Regional Airport
LA,Baton Rouge,BTR,Baton Rouge International Airport
LA,Lake Charles,LCH,Lake Charles Regional Airport
LA,Lafayette,LFT,Lafayette Regional Airport
LA,Monroe,MLU,Monroe Regional Airport
LA,New Orleans,MSY,New Orleans International Airport
LA,New Orleans,NEW,Lakefront Airport
LA,Shreveport,SHV,Shreveport Regional Airport
LA,"Tallulah/Vicksburg, Mississippi",TVR,Vicksburg Tallulah Regional Airport
MA,Bedford,BED,Bedford Hanscom Field
MA,Boston,BOS,Boston Logan International Airport
MA,Hyannis,HYA,Barnstable Municipal Airport
MA,Nantucket,ACK,Nantucket Memorial Airport
MA,New Bedford,EWB,New Bedford Regional Airport
MA,Provincetown,PVC,Provincetown Municipal Airport
MA,Springfield/Chicopee,CEF,Westover Metropolitan Airport
MA,Vineyard Haven,MVY,Martha's Vineyard Airport
MA,Westfield/Springfield,BAF,Barnes Municipal Airport
MA,Worcester,ORH,Worcester Regional Airport
MD,BWI Airport,BWI,Baltimore / Washington International Airport
MD,Hagerstown,HGR,Hagerstown Regional Airport
MD,Salisbury,SBY,Salisbury-Ocean City Wicomico Regional Airport
ME,Augusta,AUG,Augusta State Airport
ME,Bangor,BGR,Bangor International Airport
ME,Bar Harbor,BHB,Hancock County-Bar Harbor Airport
ME,Portland,PWM,Portland International Jetport
ME,Presque Isle,PQI,Northern Maine Regional Airport
ME,Rockland,RKD,Knox County Regional Airport
MI,Alpena,APN,Alpena County Regional Airport
MI,Battle Creek,BTL,W K Kellogg Airport
MI,Bellaire,ACB,Bellaire/Antrim County Airport
MI,Benton Harbor,BEH,Southwest Michigan Regional Airport
MI,Charlevoix,CVX,Charlevoix Municipal Airport
MI,Detroit,DTW,Detroit Metro Airport
MI,Detroit,DET,Detroit City Airport
MI,Escanaba,ESC,Delta County Airport
MI,Flint,FNT,Bishop International Airport
MI,Gaylord,GLR,Gaylord Regional Airport
MI,Grand Rapids,GRR,Gerald R. Ford International Airport
MI,Hancock,CMX,Houghton County Memorial Airport
MI,Iron Mountain / Kingsford,IMT,Iron Mountain Airport
MI,Ironwood,IWD,Gogebic-Iron County Airport
MI,Jackson,JXN,Jackson County Airport
MI,Kalamazoo,AZO,Kalamazoo/Battle Creek International Airport
MI,Lansing,LAN,Lansing Capital City Airport
MI,Manistee,MBL,Manistee County-Blacker
MI,Marquette,SAW,Sawyer International Airport
MI,Menominee,MNM,Menominee-Marinette Twin County Airport
MI,Muskegon,MKG,Muskegon County Airport
MI,Pellston,PLN,Pellston Regional Airport
MI,Pontiac,PTK,Oakland County International Airport
MI,Saginaw,MBS,Saginaw International Airport
MI,Sault Ste Marie,CIU,Chippewa County International Airport
MI,Traverse City,TVC,Cherry Capital Airport
MN,Alexandria,AXN,Chandler Field Airport
MN,Baudette,BDE,Baudette International Airport
MN,Bemidji,BJI,Bemidji Regional Airport
MN,Brainerd,BRD,Brainerd Lakes Regional Airport
MN,Duluth,DLH,Duluth International Airport
MN,Ely,ELO,Ely Municipal Airport
MN,Fairmont,FRM,Fairmont Municipal Airport
MN,Grand Rapids,GPZ,Grand Rapids/Itasca County Airport
MN,Hibbing,HIB,Chisholm-Hibbing Airport
MN,International Falls,INL,Falls International Airport
MN,Mankato,MKT,Mankato Regional Airport
MN,Minneapolis,MSP,Minneapolis/St. Paul International Airport
MN,Rochester,RST,Rochester International Airport
MN,St Cloud,STC,St Cloud Regional Airport
MN,St Paul,STP,St Paul Downtown Airport / Holman Field
MN,Thief River Falls,TVF,Thief River Falls Regional Airport
MN,Willmar,ILL,Willmar Municipal Airport
MN,Worthington,OTG,Worthington Municipal Airport
MO,Cape Girardeau,CGI,Cape Girardeau Regional Airport
MO,Columbia,COU,Columbia Regional Airport
MO,Fort Leonard Wood,TBN,Waynesville Regional Airport At Forney Field
MO,Jefferson City,JEF,Jefferson City Memorial Airport
MO,Joplin,JLN,Joplin Regional Airport
MO,Kaiser Lake Ozark,AIZ,Lee C Fine Memorial Airport
MO,Kansas City,MCI,Kansas City International Airport
MO,Kansas City,MKC,Charles B. Wheeler Downtown Airport
MO,Kirksville,IRK,Kirksville Regional Airport
MO,Point Lookout,PLK,M Graham Clark - Taney County Airport
MO,Saint Louis,STL,Lambert-St. Louis International Airport
MO,Springfield,SGF,Springfield Branson Regional Airport
MO,St Joseph,STJ,Rosecrans Memorial Airport
MO,St Louis,SUS,Spirit Of St Louis Airport
MQ,Sand Island,MDY,Henderson Field Airport
MS,Columbus,GTR,Golden Triangle Regional Airport
MS,Greenville,GLH,Mid Delta Regional Airport
MS,Gulfport,GPT,Gulfport-Biloxi International Airport
MS,Hattiesburg / Laurel,PIB,Hattiesburg-Laurel Regional Airport
MS,Jackson,JAN,Jackson-Evers International Airport
MS,Jackson,HKS,Hawkins Field Airport
MS,Meridian,MEI,Key Field Airport
MS,Oxford,UOX,University-Oxford Airport
MS,Pascagoula,PQL,Trent Lott International Airport
MS,Tupelo,TUP,Tupelo Regional Airport
MT,Billings,BIL,Billings Logan International Airport
MT,Bozeman,BZN,Bozeman Gallatin Field Airport
MT,Butte,BTM,Bert Mooney Airport
MT,Glasgow,GGW,Wokal Field/Glasgow International Airport
MT,Great Falls,GTF,Great Falls International Airport
MT,Helena,HLN,Helena Regional Airport
MT,Kalispell,GPI,Glacier Park International Airport
MT,Missoula,MSO,Missoula International Airport
MT,Sidney,SDY,Sidney-Richland Municipal Airport
MT,West Yellowstone,WYS,West Yellowstone Airport
NC,Asheville,AVL,Asheville Regional Airport
NC,Charlotte,CLT,Charlotte/Douglas International Airport
NC,Fayetteville,FAY,Fayetteville Regional/Grannis Field Airport
NC,Greensboro,GSO,Piedmont Triad International Airport
NC,Greenville,PGV,Pitt-Greenville Airport
NC,Hickory,HKY,Hickory Regional Airport
NC,Jacksonville,OAJ,Jacksonville/Albert J Ellis Airport
NC,Kinston,ISO,Kinston Regional Jetport
NC,Manteo,MQI,Dare County Regional Airport
NC,New Bern,EWN,Craven County Regional Airport
NC,Pinehurst/Southern Pines,SOP,Moore County Airport
NC,Rdu Airport,RDU,Raleigh-Durham International Airport
NC,Rocky Mount,RWI,Rocky Mount-Wilson Regional Airport
NC,Wilmington,ILM,Wilmington International Airport
NC,Winston Salem,INT,Smith Reynolds Airport
ND,Bismarck,BIS,Bismarck Municipal Airport
ND,Devils Lake,DVL,Devils Lake Municipal Airport
ND,Dickinson,DIK,Dickinson - Theodore Roosevelt Regional Airport
ND,Fargo,FAR,Hector International Airport
ND,Grand Forks,GFK,Grand Forks International Airport
ND,Jamestown,JMS,Jamestown Regional Airport
ND,Minot,MOT,Minot International Airport
ND,Williston,ISN,Sloulin Field International Airport
NE,Alliance,AIA,Alliance Municipal Airport
NE,Grand Island,GRI,Central Nebraska Regional Airport
NE,Kearney,EAR,Kearney Municipal Airport
NE,Lincoln,LNK,Lincoln Airport
NE,Mc Cook,MCK,Mc Cook Regional Airport
NE,Norfolk,OFK,Karl Stefan Memorial Airport
NE,North Platte,LBF,North Platte Regional Airport Lee Bird Field
NE,Omaha,OMA,Eppley Airfield
NE,Scottsbluff,BFF,Western Nebraska Regional Airport
NH,Keene,EEN,Keene/Dillant-Hopkins Airport
NH,Lebanon,LEB,Lebanon Municipal Airport
NH,Manchester,MHT,Manchester Airport
NH,Portsmouth,PSM,Pease International Airport
NJ,Atlantic City,AIY,Atlantic City Municipal Airport/Bader Field
NJ,Belmar/Farmingdale,BLM,Monmouth Executive Airport
NJ,Caldwell,CDW,Essex County Airport
NJ,Egg Harbor Township,ACY,Atlantic City International Airport
NJ,Millville,MIV,Millville Municipal Airport
NJ,Morristown,MMU,Morristown Municipal Airport
NJ,Newark,EWR,Newark Liberty International Airport
NJ,Teterboro,TEB,Teterboro Airport
NJ,Toms River,MJX,Robert J. Miller Air Park
NJ,Trenton,TTN,Trenton Mercer Airport
NJ,Wildwood,WWD,Cape May County Airport
NM,Alamogordo,ALM,Alamogordo-White Sands Regional Airport
NM,Albuquerque,ABQ,Albuquerque International Sunport
NM,Carlsbad,CNM,Cavern City Air Terminal
NM,Farmington,FMN,Four Corners Regional Airport
NM,Gallup,GUP,Gallup Municipal Airport
NM,Hobbs,HOB,Lea County Regional Airport
NM,Las Cruces,LRU,Las Cruces International Airport
NM,Roswell,ROW,Roswell Industrial Air Center Airport
NM,Ruidoso,SRR,Sierra Blanca Regional Airport
NM,Santa Fe,SAF,Santa Fe Municipal Airport
NM,Silver City,SVC,Grant County Airport
NM,Taos,SKX,Taos Regional Airport
NV,Elko,EKO,Elko Regional Airport
NV,Ely,ELY,Ely Airport
NV,Las Vegas,LAS,Mccarran International Airport
NV,Las Vegas,VGT,North Las Vegas Air Terminal
NV,Las Vegas,HND,Henderson Executive Airport
NV,Reno,RNO,Reno-Tahoe International Airport
NY,Albany,ALB,Albany International Airport
NY,Binghamton,BGM,Greater Binghamton Airport
NY,Buffalo,BUF,Buffalo Niagara International Airport
NY,Elmira / Corning,ELM,Elmira / Corning Regional Airport
NY,Farmingdale,FRG,Republic Airport
NY,Glens Falls,GFL,Floyd Bennett Memorial Airport
NY,Islip,ISP,Macarthur Airport
NY,Ithaca,ITH,Ithaca Tompkins Regional Airport
NY,Jamestown,JHW,Chautauqua County/Jamestown Airport
NY,Massena,MSS,Massena International Airport
NY,Monticello,MSV,Sullivan County International Airport
NY,New York,JFK,John F. Kennedy International Airport
NY,New York,LGA,La Guardia Airport
NY,New York,JRB,Downtown Manhattan Heliport
NY,Newburgh,SWF,Stewart International Airport
NY,Ogdensburg,OGS,Ogdensburg International Airport
NY,Plattsburgh,PLB,Clinton County Airport
NY,Poughkeepsie,POU,Dutchess County Airport
NY,Rochester,ROC,Greater Rochester International Airport
NY,Rome,RME,Griffiss Airpark
NY,Saranac Lake,SLK,Adirondack Regional Airport
NY,Syracuse,SYR,Syracuse Hancock International Airport
NY,Utica,UCA,Oneida County Airport
NY,Watertown,ART,Watertown International Airport
NY,White Plains,HPN,Westchester County Airport
OH,Cincinnati,CVG,Cincinnati / Northern Kentucky International Airport
OH,Cincinnati,LUK,Cincinnati Municipal Airport Lunken Field
OH,Cleveland,CLE,Cleveland Hopkins International Airport
OH,Cleveland,BKL,Burke Lakefront Airport
OH,Cleveland,CGF,Cuyahoga County Airport
OH,Columbus,CMH,Port Columbus International Airport
OH,Columbus,LCK,Rickenbacker International Airport
OH,Columbus,OSU,Ohio State University Airport
OH,Dayton,DAY,Dayton International Airport
OH,Lorain/Elyria,LPR,Lorain County Regional Airport
OH,Mansfield,MFD,Mansfield Lahm Regional Airport
OH,Middle Bass,3T7,Middle Bass Island Airport
OH,North Canton,CAK,Akron-Canton Airport
OH,Port Clinton,PCW,Carl R Keller Field
OH,Put - in - Bay,3W2,Put - in - Bay Airport
OH,Springfield,SGH,Springfield-Beckley Municipal Airport
OH,Toledo,TOL,Toledo Express Airport
OH,Youngstown,YNG,Youngstown Regional Airport
OK,Enid,WDG,Woodring Municipal Airport
OK,Lawton,LAW,Lawton-Fort Sill Regional Airport
OK,Oklahoma City,OKC,Will Rogers World Airport
OK,Ponca City,PNC,Ponca City Regional Airport
OK,Stillwater,SWO,Stillwater Regional Airport
OK,Tulsa,TUL,Tulsa International Airport
OR,Astoria,AST,Astoria Regional Airport
OR,Corvallis,CVO,Corvallis Municipal Airport
OR,Eugene,EUG,Eugene Airport
OR,Klamath Falls,LMT,Klamath Falls Airport
